RepoId,LangNum,AuthorNum,Age,CmmtNum,Vulb1Num,Vulb2Num,Vulb3Num,Vulb4Num,C,CPP,RUBY,JAVA,SHELL,PHP,CSHP,PYTHON,JAVASCRIPT,TYPESCRIPT
892275,5,174,119,15,0,0,1,2,0,0,0,1,1,0,0,0,0,0
21700699,1,945,73,83,0,0,4,11,0,0,0,0,0,0,0,0,0,0
5271882,4,404,95,53,0,0,0,3,0,0,0,0,1,0,0,1,0,0
15111821,13,1329,91,285,4,0,15,42,0,0,0,0,1,1,0,1,1,1
16752620,8,501,78,69,3,0,1,42,0,0,0,0,1,0,0,0,1,0
15428480,3,99,80,19,0,0,0,8,0,0,0,0,0,0,0,0,1,0
22458259,3,226,72,20,0,0,0,1,0,0,1,0,0,0,0,0,0,0
22887094,9,172,162,28,0,1,0,10,1,1,0,1,1,0,0,1,0,0
1828795,4,376,111,26,0,0,0,10,1,0,1,0,0,0,0,0,0,0
9852918,5,402,88,128,0,0,1,9,0,0,0,0,1,0,0,0,1,0
11167738,1,243,84,13,0,0,2,2,0,0,0,0,0,0,0,0,1,0
29268051,3,199,39,73,3,0,1,4,0,0,0,0,0,0,0,0,1,0
10187082,5,291,86,56,0,0,1,8,0,0,0,0,1,0,0,1,1,0
12888993,2,2187,83,342,1,2,9,80,0,0,0,0,1,0,0,1,0,0
36502,19,1876,186,322,0,0,0,0,1,1,0,0,1,1,0,1,1,0
4710920,6,370,106,41,0,0,0,9,0,0,0,1,1,0,0,0,0,0
2935735,10,481,101,176,1,0,0,32,0,0,1,0,1,1,0,0,1,0
1129010,8,108,116,10,0,0,0,2,0,0,0,0,1,1,0,1,1,0
3432266,14,524,118,574,4,6,1,31,0,0,1,1,1,0,0,0,1,1
5483330,3,223,96,24,1,0,0,7,0,0,0,0,1,0,0,1,0,0
7569578,5,879,106,363,2,4,2,141,0,0,1,0,1,0,0,0,1,0
12791642,8,318,78,53,0,0,1,5,0,1,0,0,1,0,0,1,0,0
14712850,7,260,80,74,1,0,4,10,0,0,0,0,1,0,0,0,1,0
19148949,1,85,74,27,0,0,0,18,0,0,0,1,0,0,0,0,0,0
15062869,4,1195,75,66,2,0,3,12,0,0,0,0,1,0,0,0,1,1
14370955,4,197,81,31,0,0,0,3,0,0,0,0,0,0,0,0,1,0
5923215,2,185,95,35,0,0,0,3,0,0,0,0,1,0,0,0,1,0
11225014,6,690,86,188,2,0,0,7,0,0,0,0,1,0,0,0,0,0
1663468,4,391,112,113,9,0,0,43,0,0,0,0,0,0,0,0,1,0
21413198,5,201,68,22,1,0,0,6,0,0,0,0,1,0,0,0,1,1
12972263,3,164,82,22,1,0,0,2,0,0,0,0,0,0,0,0,1,0
12820537,5,131,82,7,0,0,0,3,0,0,1,0,1,0,0,0,1,0
6838921,10,551,93,86,3,0,3,2,0,0,0,0,1,0,0,0,1,1
7190986,9,47,92,37,3,0,1,56,1,1,0,1,1,0,0,1,0,0
2573058,4,1271,106,160,3,0,2,29,0,0,0,0,1,0,0,0,1,0
7741856,4,401,91,59,2,0,3,7,0,0,0,0,0,0,0,0,1,1
11551538,3,214,84,12,5,0,1,1,0,0,0,0,1,0,0,0,1,0
11267509,2,164,92,27,3,0,0,3,0,0,0,1,1,0,0,0,0,0
27442967,8,1247,71,218,0,0,1,24,0,0,1,1,1,0,0,0,1,0
26066727,4,193,69,38,0,0,0,27,0,0,0,0,0,0,0,0,1,0
952189,3,350,116,29,0,0,0,7,0,0,0,0,0,0,0,0,1,0
15634981,11,1464,88,336,6,0,31,55,0,1,0,1,1,0,1,1,1,0
1200050,8,179,116,16,1,0,1,3,1,1,0,0,1,0,0,1,1,0
667006,3,452,124,28,0,0,0,2,0,0,0,0,0,0,0,0,1,0
8681349,7,228,89,37,0,0,0,3,0,0,1,0,1,0,0,0,0,0
931135,4,783,120,57,1,0,1,6,0,0,0,0,1,0,0,0,1,0
13807606,6,154,82,22,0,0,0,2,0,0,1,0,1,0,0,0,0,0
9393759,3,556,88,165,4,0,12,7,0,0,0,0,0,0,0,0,1,1
698041,4,258,121,14,1,0,1,3,0,0,0,0,1,0,0,0,1,0
6093316,3,13503,95,740,39,0,12,55,0,0,0,0,1,0,0,0,1,1
1844251,4,353,105,27,1,0,0,8,0,0,0,0,1,0,0,0,1,0
