,average,standard deviation,bytes_distribution,percentage_sum,percentage_avg,percentage_std,percentage_median,percentage_max,percentage_min
idris,16%,23%,4.21E-05,0.3266850476,0.1633,0.2292,0.1633,0.3253924019,0.001292645769
sqlpl,3%,14%,4.08E-05,0.7589104043,0.0271,0.1397,0.0006,0.7400384721,4.62E-06
systemverilog,3%,6%,3.98E-05,0.1697325484,0.0283,0.0643,0.0014,0.1595150895,5.92E-05
meson,1%,3%,3.74E-05,0.26436657,0.0132,0.0275,0.0054,0.1254002231,3.37E-06
gdscript,99%,99%,3.74E-05,0.9917068686,0.9917068686,0.9917068686,0.9917068686,0.9917068686,0.9917068686
jsonnet,10%,23%,3.72E-05,0.5861772959,0.0977,0.2274,0.0025,0.5616666715,7.20E-05
rebol,1%,5%,3.59E-05,0.1801443526,0.0139,0.045,0.0005,0.1633573972,1.15E-06
apex,4%,7%,3.57E-05,0.1295462976,0.0432,0.0667,0.006,0.1202289325,0.003361961412
shaderlab,5%,12%,3.56E-05,0.4366007051,0.0546,0.1225,0.0155,0.3570707335,0.000196761223
ags script,1%,2%,3.13E-05,0.04956041743,0.0124,0.0157,0.0075,0.03448135884,7.51E-05
prolog,1%,4%,3.02E-05,0.2170174851,0.0094,0.0356,0.0008,0.172114848,2.57E-05
forth,0%,0%,2.97E-05,0.01667518827,0.0012,0.0026,0.0003,0.009723936559,3.20E-06
io,6%,13%,2.90E-05,0.322394959,0.0645,0.1312,0.0021,0.2985623898,9.80E-07
inno setup,1%,4%,2.80E-05,0.5220358771,0.0102,0.0435,0.001,0.3084275025,4.45E-05
ragel,2%,3%,2.60E-05,0.3774057296,0.0199,0.0333,0.006,0.1223403354,2.92E-05
ada,1%,2%,2.50E-05,0.1275171001,0.008,0.0155,0.0022,0.05946278628,6.93E-07
yara,15%,29%,2.42E-05,1.159833119,0.145,0.2928,0.0068,0.8455502172,2.52E-05
arc,11%,28%,2.40E-05,0.748182375,0.1069,0.2815,0.0005,0.7453607815,5.33E-07
livescript,19%,32%,2.13E-05,1.674775794,0.1861,0.319,0.0029,0.9722129081,4.02E-05
terra,6%,10%,2.08E-05,0.3844434254,0.0641,0.1026,0.0178,0.2626900441,2.41E-09
standard ml,0%,1%,2.03E-05,0.1115464898,0.0043,0.0095,0.0007,0.03554388089,3.88E-06
moonscript,19%,26%,1.99E-05,0.958944862,0.1918,0.2617,0.0119,0.5446953532,0.0004616592032
webidl,3%,0%,1.98E-05,0.05768194065,0.0288,0.0004,0.0288,0.02910278713,0.02857915353
volt,2%,3%,1.81E-05,0.09004315935,0.0225,0.0287,0.0147,0.06057610166,5.76E-05
yasnippet,27%,47%,1.70E-05,1.097379814,0.2743,0.465,0.0638,0.969423146,0.0002990327809
parrot,3%,3%,1.60E-05,0.0289682001,0.0289682001,0.0289682001,0.0289682001,0.0289682001,0.0289682001
ec,0%,0%,1.38E-05,0.005723439881,0.001,0.0021,0.0001,0.005141865395,2.81E-05
cartocss,22%,42%,1.37E-05,0.8759765119,0.219,0.4183,0.0147,0.8462618895,0.0003439472129
wdl,2%,2%,1.37E-05,0.01812457138,0.01812457138,0.01812457138,0.01812457138,0.01812457138,0.01812457138
nu,10%,20%,1.35E-05,0.4004270364,0.1001,0.1992,0.0005,0.398856611,0.0004847421633
vba,0%,1%,1.34E-05,0.07651592379,0.0048,0.0123,0.0002,0.04832823632,1.87E-06
1c enterprise,0%,0%,1.31E-05,0.001652201598,0.0006,0.0008,0.0001,0.001466856216,8.92E-05
smali,6%,10%,1.23E-05,0.2577399939,0.0644,0.095,0.0251,0.2044441057,0.003167247514
q,1%,1%,1.19E-05,0.02342154783,0.0059,0.008,0.0029,0.01740896756,0.000306919192
wisp,99%,99%,1.15E-05,0.9934661558,0.9934661558,0.9934661558,0.9934661558,0.9934661558,0.9934661558
openedge abl,0%,1%,1.02E-05,0.03151216104,0.0045,0.0104,0.0005,0.02797654771,4.48E-07
logos,1%,1%,8.93E-06,0.1430037215,0.0062,0.008,0.0023,0.0287428469,9.92E-08
protocol buffer,5%,6%,8.57E-06,0.2301969511,0.046,0.0619,0.0063,0.1361286633,0.0002395864624
metal,1%,1%,8.54E-06,0.03975911911,0.0066,0.012,0.0015,0.03082123824,4.68E-05
module management system,0%,0%,7.81E-06,0.007005370338,0.0004,0.0007,0.0002,0.002900969411,1.41E-06
hy,9%,20%,7.60E-06,0.4483692965,0.0897,0.1982,0.0013,0.4442661302,0.0005309080837
lfe,25%,25%,7.37E-06,0.2488597238,0.2488597238,0.2488597238,0.2488597238,0.2488597238,0.2488597238
common workflow language,15%,21%,7.18E-06,0.3012107929,0.1506,0.2128,0.1506,0.3010668146,0.000143978291
vbscript,1%,2%,7.11E-06,0.2097323001,0.0064,0.0219,0.0002,0.09983019669,3.54E-07
hiveql,0%,0%,6.88E-06,0.01491722889,0.003,0.0045,0.0001,0.01028104318,3.01E-07
processing,1%,1%,6.78E-06,0.04854303374,0.0054,0.0066,0.0043,0.02127252783,8.42E-05
hcl,1%,2%,6.16E-06,0.267943424,0.0079,0.0214,0.0007,0.1210551785,4.61E-06
smpl,0%,0%,6.14E-06,0.001783811775,0.0002,0.0001,0.0002,0.0004610031871,5.58E-06
p4,0%,0%,6.03E-06,0.00319570233,0.00319570233,0.00319570233,0.00319570233,0.00319570233,0.00319570233
maxscript,1%,1%,5.90E-06,0.03714669991,0.0053,0.0055,0.0056,0.01558442212,4.78E-05
autohotkey,20%,44%,5.80E-06,0.9940791475,0.1988,0.4422,0.0005,0.9897984132,5.04E-06
