,average,standard deviation,bytes_distribution,percentage_sum,percentage_avg,percentage_std,percentage_median,percentage_max,percentage_min
redcode,0%,0%,3.82E-07,0.001108608975,0.001108608975,0.001108608975,0.001108608975,0.001108608975,0.001108608975
dogescript,6%,8%,3.62E-07,0.1146170151,0.0573,0.078,0.0573,0.1124933827,0.002123632335
abap,0%,0%,3.37E-07,0.01067175497,0.0036,0.0048,0.0016,0.009026130268,6.73E-06
xbase,3%,4%,3.09E-07,0.05135961319,0.0257,0.0362,0.0257,0.05124417155,0.0001154416344
riot,0%,0%,2.76E-07,0.00599773139,0.003,0.0042,0.003,0.005994864837,2.87E-06
xquery,0%,0%,2.58E-07,0.00203738848,0.0005,0.0006,0.0005,0.001015650247,7.98E-07
turing,0%,0%,2.40E-07,8.21E-06,8.21E-06,8.21E-06,8.21E-06,8.21E-06,8.21E-06
smt,0%,0%,2.08E-07,0.0009787176159,0.0003,0.0003,0.0002,0.0006600772716,0.0001360565347
tla,0%,0%,1.82E-07,0.003196334326,0.003196334326,0.003196334326,0.003196334326,0.003196334326,0.003196334326
krl,0%,0%,1.82E-07,6.21E-06,6.21E-06,6.21E-06,6.21E-06,6.21E-06,6.21E-06
lilypond,1%,1%,1.57E-07,0.0231281545,0.0077,0.0131,0.0003,0.02280596464,5.67E-05
bitbake,0%,0%,1.50E-07,0.002600598721,0.0013,0.0017,0.0013,0.002523478701,7.71E-05
fancy,0%,0%,1.49E-07,0.001476231507,0.0007,0.0002,0.0007,0.0008991575035,0.000577074004
shellsession,0%,0%,1.35E-07,0.0006517455383,0.0006517455383,0.0006517455383,0.0006517455383,0.0006517455383,0.0006517455383
agda,0%,0%,1.32E-07,0.007076644202,0.0024,0.0018,0.0016,0.004450485525,0.001010351466
nginx,0%,0%,1.11E-07,0.001566986361,0.0008,0.0007,0.0008,0.001245529941,0.0003214564204
nemerle,0%,0%,1.09E-07,0.002482858493,0.0012,0.0016,0.0012,0.002400627857,8.22E-05
jasmin,0%,0%,9.13E-08,0.007168380666,0.0018,0.0035,0.0001,0.006994136928,9.80E-06
x10,0%,0%,8.27E-08,0.0003998459727,0.0003998459727,0.0003998459727,0.0003998459727,0.0003998459727,0.0003998459727
lsl,0%,0%,7.57E-08,0.001722700201,0.0009,0.0012,0.0009,0.001708139052,1.46E-05
harbour,0%,0%,6.99E-08,6.10E-05,0,0,0,5.86E-05,2.41E-06
pike,0%,0%,6.96E-08,0.001521245478,0.0005,0.0007,0.0001,0.001338811689,4.28E-05
autoit,0%,0%,6.45E-08,0.001206649945,0.0004,0.0005,0.0002,0.0009233184064,6.72E-05
csound score,0%,0%,5.57E-08,2.66E-05,2.66E-05,2.66E-05,2.66E-05,2.66E-05,2.66E-05
slash,0%,0%,5.19E-08,1.87E-05,1.87E-05,1.87E-05,1.87E-05,1.87E-05,1.87E-05
mercury,0%,0%,4.77E-08,0.00379714245,0.0019,0.0027,0.0019,0.003785605466,1.15E-05
modelica,0%,0%,4.73E-08,0.0001635475182,0.0001635475182,0.0001635475182,0.0001635475182,0.0001635475182,0.0001635475182
apl,0%,0%,4.68E-08,0.001715761886,0.0009,0.0005,0.0009,0.001207936763,0.0005078251235
flux,0%,0%,4.60E-08,0.0008611189016,0.0008611189016,0.0008611189016,0.0008611189016,0.0008611189016,0.0008611189016
arduino,0%,0%,4.33E-08,0.003109245395,0.003109245395,0.003109245395,0.003109245395,0.003109245395,0.003109245395
zimpl,0%,0%,3.92E-08,3.60E-05,3.60E-05,3.60E-05,3.60E-05,3.60E-05,3.60E-05
genshi,0%,0%,3.33E-08,6.62E-06,6.62E-06,6.62E-06,6.62E-06,6.62E-06,6.62E-06
myghty,0%,0%,3.29E-08,6.55E-06,6.55E-06,6.55E-06,6.55E-06,6.55E-06,6.55E-06
kit,0%,0%,2.90E-08,1.05E-05,1.05E-05,1.05E-05,1.05E-05,1.05E-05,1.05E-05
rascal,0%,0%,2.60E-08,1.15E-05,0,0,0,8.33E-06,3.13E-06
lolcode,0%,0%,2.52E-08,0.003448037691,0.0017,0.0001,0.0017,0.00180914752,0.001638890171
mask,0%,0%,2.10E-08,4.18E-06,4.18E-06,4.18E-06,4.18E-06,4.18E-06,4.18E-06
cirru,0%,0%,1.83E-08,3.64E-06,3.64E-06,3.64E-06,3.64E-06,3.64E-06,3.64E-06
genie,0%,0%,1.28E-08,0.0006041215244,0.0003,0.0003,0.0003,0.0005078251235,9.63E-05
e,0%,0%,1.06E-08,4.52E-06,0,0,0,3.86E-06,2.13E-07
omgrofl,1%,1%,8.40E-09,0.005516827478,0.005516827478,0.005516827478,0.005516827478,0.005516827478,0.005516827478
purescript,0%,0%,8.37E-09,0.001573914413,0.0008,0.0011,0.0008,0.001569641291,4.27E-06
blitzbasic,0%,0%,8.08E-09,0.00174139381,0.0009,0.0012,0.0009,0.001708139052,3.33E-05
lean,0%,0%,7.49E-09,1.49E-06,1.49E-06,1.49E-06,1.49E-06,1.49E-06,1.49E-06
csound,0%,0%,6.15E-09,0.004039518028,0.004039518028,0.004039518028,0.004039518028,0.004039518028,0.004039518028
xproc,0%,0%,5.55E-09,0.0009118781307,0.0005,0.0006,0.0005,0.0008540695259,5.78E-05
oz,0%,0%,4.89E-09,0.003208531462,0.003208531462,0.003208531462,0.003208531462,0.003208531462,0.003208531462
modula-2,0%,0%,4.82E-09,0.003162365542,0.003162365542,0.003162365542,0.003162365542,0.003162365542,0.003162365542
gosu,0%,0%,3.66E-09,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05
fantom,0%,0%,3.37E-09,0.002215964175,0.002215964175,0.002215964175,0.002215964175,0.002215964175,0.002215964175
modula-3,0%,0%,2.81E-09,0.001846636813,0.001846636813,0.001846636813,0.001846636813,0.001846636813,0.001846636813
golo,0%,0%,2.53E-09,0.001661973131,0.001661973131,0.001661973131,0.001661973131,0.001661973131,0.001661973131
ceylon,0%,0%,1.83E-09,0.001200313928,0.001200313928,0.001200313928,0.001200313928,0.001200313928,0.001200313928
j,0%,0%,1.65E-09,0.001084899127,0.001084899127,0.001084899127,0.001084899127,0.001084899127,0.001084899127
ooc,0%,0%,1.55E-09,0.001015650247,0.001015650247,0.001015650247,0.001015650247,0.001015650247,0.001015650247
chuck,0%,0%,1.37E-09,4.69E-08,4.69E-08,4.69E-08,4.69E-08,4.69E-08,4.69E-08
factor,0%,0%,1.16E-09,0.0007617376852,0.0007617376852,0.0007617376852,0.0007617376852,0.0007617376852,0.0007617376852
ioke,0%,0%,8.44E-10,0.0005539910438,0.0005539910438,0.0005539910438,0.0005539910438,0.0005539910438,0.0005539910438
self,0%,0%,8.44E-10,0.0005539910438,0.0005539910438,0.0005539910438,0.0005539910438,0.0005539910438,0.0005539910438
squirrel,0%,0%,7.73E-10,0.0005078251235,0.0005078251235,0.0005078251235,0.0005078251235,0.0005078251235,0.0005078251235
nit,0%,0%,7.38E-10,0.0004847421633,0.0004847421633,0.0004847421633,0.0004847421633,0.0004847421633,0.0004847421633
tea,0%,0%,7.38E-10,0.0004847421633,0.0004847421633,0.0004847421633,0.0004847421633,0.0004847421633,0.0004847421633
boo,0%,0%,7.03E-10,0.0004616592032,0.0004616592032,0.0004616592032,0.0004616592032,0.0004616592032,0.0004616592032
opa,0%,0%,7.03E-10,0.0004616592032,0.0004616592032,0.0004616592032,0.0004616592032,0.0004616592032,0.0004616592032
ring,0%,0%,7.03E-10,0.0004616592032,0.0004616592032,0.0004616592032,0.0004616592032,0.0004616592032,0.0004616592032
shen,0%,0%,6.68E-10,0.000438576243,0.000438576243,0.000438576243,0.000438576243,0.000438576243,0.000438576243
holyc,0%,0%,5.98E-10,0.0003924103227,0.0003924103227,0.0003924103227,0.0003924103227,0.0003924103227,0.0003924103227
filebench wml,0%,0%,5.27E-10,2.46E-08,2.46E-08,2.46E-08,2.46E-08,2.46E-08,2.46E-08
