No,project,contribution
1,vscode,19.1
2,azure-docs,14
3,flutter,13
4,firstcontributions,11.6
5,tensorflow,9.9
6,facebook,9.1
7,kubernetes,6.9
8,DefinitelyTyped,6.9
9,ansible,6.8
10,home-assistant,6.3
